frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
41,1.0,[66.1588363647461 985.157958984375 1322.1820068359375 1697.551513671875],[295.139404296875 1377.4332275390625 586.1004028320312 1481.5257568359375],0.7594588994979858,MI399CT,0.983144952593764
41,2.0,[2358.822265625 1020.2960815429688 3562.541748046875 1718.6702880859375],[3015.876708984375 1518.33251953125 3313.789306640625 1617.568359375],0.5835310816764832,MIF899FM,0.4730127533665653
42,3.0,[1305.8612060546875 1007.4222412109375 2224.66845703125 1740.638427734375],[1593.7093505859375 1529.1185302734375 1893.0435791015625 1629.3511962890625],0.7623131275177002,MI589FN,0.992946546872689
42,1.0,[67.09188079833984 987.0294189453125 1322.767822265625 1697.855224609375],[293.6855163574219 1377.837890625 586.5106201171875 1482.3153076171875],0.7561608552932739,MI2399CT,0.36119980651981937
42,2.0,[2358.979248046875 1022.0543823242188 3562.166259765625 1719.14404296875],[3013.01171875 1519.130126953125 3315.774169921875 1618.53515625],0.5934115648269653,MI899FM,0.9976106579051289
43,3.0,[1305.0975341796875 1009.18359375 2225.27783203125 1741.4534912109375],[1595.3521728515625 1529.5177001953125 1893.7496337890625 1627.171142578125],0.7623067498207092,MI589FN,0.9986347459895478
43,1.0,[67.48116302490234 988.5441284179688 1323.8753662109375 1698.5142822265625],[292.262451171875 1379.364501953125 587.446044921875 1483.14599609375],0.7534956932067871,MI399CT,0.9802223830196991
44,1.0,[67.26788330078125 989.4949340820312 1326.330810546875 1698.099609375],[297.0688781738281 1382.34619140625 586.4818725585938 1482.370361328125],0.7497312426567078,MI399CI,0.804580186205342
44,2.0,[2359.641845703125 1027.6031494140625 3559.807373046875 1718.503662109375],[3015.260009765625 1523.099853515625 3313.0869140625 1619.800048828125],0.647696852684021,MI899FM,0.988084027633036
45,3.0,[1303.82763671875 1012.4042358398438 2226.030517578125 1742.3785400390625],[1599.0274658203125 1531.3282470703125 1898.61328125 1631.1932373046875],0.7624871134757996,MI589FN,0.9763003244688023
